"","Specificity","Sensitivity","Outcome","Dataset"
"miRNA.X..0.91475..0.90648.",3.448275862069,80.794701986755,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.9174..0.91475.",3.448275862069,81.4569536423841,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.91994..0.9174.",3.448275862069,82.1192052980132,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.921..0.91994.",3.448275862069,82.7814569536424,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.92734..0.921.",3.448275862069,83.4437086092715,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.93321..0.92734.",3.448275862069,84.1059602649007,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.93693..0.93321.",3.448275862069,84.7682119205298,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.94569..0.93693.",3.448275862069,85.4304635761589,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.96052..0.94569.",3.448275862069,86.0927152317881,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.97016..0.96052.",3.448275862069,86.7549668874172,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.97263..0.97016.",3.448275862069,87.4172185430464,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.97685..0.97263.",3.448275862069,88.0794701986755,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.97941..0.97685.",3.448275862069,88.7417218543046,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.98038..0.97941.",3.448275862069,89.4039735099338,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.98281..0.98038.",3.448275862069,90.0662251655629,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.98586..0.98281.",3.448275862069,90.728476821192,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.98735..0.98586.",3.448275862069,91.3907284768212,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.98875..0.98735.",3.448275862069,92.0529801324503,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.99011..0.98875.",3.448275862069,92.7152317880795,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.99386..0.99011.",3.448275862069,93.3774834437086,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.99717..0.99386.",3.448275862069,94.0397350993378,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.9979..0.99717.",3.448275862069,94.7019867549669,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0011..0.9979.",3.448275862069,95.364238410596,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0052..1.0011.",3.448275862069,96.0264900662252,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0074..1.0052.",3.448275862069,96.6887417218543,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0082..1.0074.",3.448275862069,97.3509933774834,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0093..1.0082.",3.448275862069,98.0132450331126,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0122..1.0093.",3.448275862069,98.6754966887417,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0142..1.0122.",0,0,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0151..1.0142.",0,0.662251655629139,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0159..1.0151.",0,1.32450331125828,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0168..1.0159.",0,1.98675496688742,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0178..1.0168.",0,2.64900662251656,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0201..1.0178.",0,3.3112582781457,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0243..1.0201.",0,3.97350993377483,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0273..1.0243.",0,4.63576158940397,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0297..1.0273.",0,5.29801324503311,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0312..1.0297.",0,5.96026490066225,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0359..1.0312.",0,6.62251655629139,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0408..1.0359.",0,7.28476821192053,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0413..1.0408.",0,7.94701986754967,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0423..1.0413.",0,8.60927152317881,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0459..1.0423.",0,9.27152317880795,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0491..1.0459.",0,9.93377483443709,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0515..1.0491.",0,10.5960264900662,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0539..1.0515.",0,11.2582781456954,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0554..1.0539.",0,11.9205298013245,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0575..1.0554.",0,12.5827814569536,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0608..1.0575.",0,13.2450331125828,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0662..1.0608.",0,13.9072847682119,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0699..1.0662.",0,14.5695364238411,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0722..1.0699.",0,15.2317880794702,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0753..1.0722.",0,15.8940397350993,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0772..1.0753.",0,16.5562913907285,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0796..1.0772.",0,17.2185430463576,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0821..1.0796.",0,17.8807947019868,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0826..1.0821.",0,18.5430463576159,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0837..1.0826.",0,19.205298013245,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0854..1.0837.",0,19.8675496688742,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0877..1.0854.",0,20.5298013245033,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0913..1.0877.",0,21.1920529801325,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0941..1.0913.",0,21.8543046357616,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0948..1.0941.",0,22.5165562913907,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0961..1.0948.",0,23.1788079470199,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0973..1.0961.",0,23.841059602649,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.0978..1.0973.",0,24.5033112582781,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1001..1.0978.",0,25.1655629139073,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1024..1.1001.",0,25.8278145695364,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1035..1.1024.",0,26.4900662251656,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1043..1.1035.",0,27.1523178807947,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1051..1.1043.",0,27.8145695364238,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1063..1.1051.",0,28.476821192053,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1074..1.1063.",0,29.1390728476821,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1098..1.1074.",0,29.8013245033113,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1131..1.1098.",0,30.4635761589404,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1153..1.1131.",0,31.1258278145695,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1161..1.1153.",0,31.7880794701987,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1177..1.1161.",0,32.4503311258278,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1238..1.1177.",0,33.112582781457,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1297..1.1238.",0,33.7748344370861,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1311..1.1297.",0,34.4370860927152,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.133..1.1311.",0,35.0993377483444,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.137..1.133.",0,35.7615894039735,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1404..1.137.",0,36.4238410596026,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1419..1.1404.",0,37.0860927152318,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1441..1.1419.",0,37.7483443708609,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1467..1.1441.",0,38.4105960264901,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1476..1.1467.",0,39.0728476821192,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1495..1.1476.",0,39.7350993377483,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1529..1.1495.",0,40.3973509933775,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.155..1.1529.",0,41.0596026490066,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1556..1.155.",0,41.7218543046358,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.156..1.1556.",0,42.3841059602649,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1587..1.156.",0,43.046357615894,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1644..1.1587.",0,43.7086092715232,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1684..1.1644.",0,44.3708609271523,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1695..1.1684.",0,45.0331125827815,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.17..1.1695.",0,45.6953642384106,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1715..1.17.",0,46.3576158940397,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.174..1.1715.",0,47.0198675496689,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1757..1.174.",0,47.682119205298,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1775..1.1757.",0,48.3443708609272,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1817..1.1775.",0,49.0066225165563,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1857..1.1817.",0,49.6688741721854,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1874..1.1857.",0,50.3311258278146,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1884..1.1874.",0,50.9933774834437,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1895..1.1884.",0,51.6556291390728,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1903..1.1895.",0,52.317880794702,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.1963..1.1903.",0,52.9801324503311,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2023..1.1963.",0,53.6423841059603,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.203..1.2023.",0,54.3046357615894,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2068..1.203.",0,54.9668874172185,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2102..1.2068.",0,55.6291390728477,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.213..1.2102.",0,56.2913907284768,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2163..1.213.",0,56.953642384106,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2179..1.2163.",0,57.6158940397351,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2191..1.2179.",0,58.2781456953642,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2199..1.2191.",0,58.9403973509934,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2236..1.2199.",0,59.6026490066225,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.228..1.2236.",0,60.2649006622516,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2294..1.228.",0,60.9271523178808,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.231..1.2294.",0,61.5894039735099,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2338..1.231.",0,62.2516556291391,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.241..1.2338.",0,62.9139072847682,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2492..1.241.",0,63.5761589403974,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2532..1.2492.",0,64.2384105960265,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2555..1.2532.",0,64.9006622516556,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2592..1.2555.",0,65.5629139072848,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.263..1.2592.",0,66.2251655629139,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2643..1.263.",0,66.887417218543,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.272..1.2643.",0,67.5496688741722,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2834..1.272.",0,68.2119205298013,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2927..1.2834.",0,68.8741721854305,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.2996..1.2927.",0,69.5364238410596,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3037..1.2996.",0,70.1986754966887,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3075..1.3037.",0,70.8609271523179,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3193..1.3075.",0,71.523178807947,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3338..1.3193.",0,72.1854304635762,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3434..1.3338.",0,72.8476821192053,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3519..1.3434.",0,73.5099337748344,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3617..1.3519.",0,74.1721854304636,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3754..1.3617.",0,74.8344370860927,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.3984..1.3754.",0,75.4966887417218,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..1.4151..1.3984.",0,76.158940397351,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..Inf..1.4151.",0,76.8211920529801,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X",0,77.4834437086093,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X.0.41874..Inf.",100,97.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.41162.0.41874.",100,98.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.40905.0.41162.",100,98.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.40607.0.40905.",100,99.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.40296.0.40607.",100,100,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.39828.0.40296.",95,97.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.39323.0.39828.",90,97.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.38776.0.39323.",85,95.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.38171.0.38776.",85,96.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.3727.0.38171.",85,96.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36631.0.3727.",85,97.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36566.0.36631.",80,94.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36527.0.36566.",80,95,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36451.0.36527.",80,95.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36361.0.36451.",75,93.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.36119.0.36361.",75,94.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.35693.0.36119.",70,91.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.35403.0.35693.",70,92.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.35058.0.35403.",70,93.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.34617.0.35058.",70,93.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.34395.0.34617.",65,90,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.34287.0.34395.",65,90.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.3413.0.34287.",65,91.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.33908.0.3413.",65,91.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.33781.0.33908.",60,89.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.33658.0.33781.",60,90,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.33476.0.33658.",55,87.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.33145.0.33476.",55,88.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.32882.0.33145.",55,88.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.3277.0.32882.",55,89.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.32281.0.3277.",50,86.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.31818.0.32281.",50,86.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.31663.0.31818.",50,87.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.31427.0.31663.",45,83.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.31222.0.31427.",45,84.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.31095.0.31222.",45,85,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.30958.0.31095.",45,85.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.30875.0.30958.",45,86.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.30662.0.30875.",40,74.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.30289.0.30662.",40,75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.30098.0.30289.",40,75.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29998.0.30098.",40,76.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29867.0.29998.",40,76.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29746.0.29867.",40,77.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29661.0.29746.",40,78.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29616.0.29661.",40,78.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29351.0.29616.",40,79.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29074.0.29351.",40,80,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.29018.0.29074.",40,80.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.28986.0.29018.",40,81.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.28825.0.28986.",40,81.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.28461.0.28825.",40,82.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2792.0.28461.",40,83.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27586.0.2792.",40,83.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27554.0.27586.",35,73.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27529.0.27554.",35,73.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27481.0.27529.",35,74.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27451.0.27481.",30,71.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27347.0.27451.",30,71.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27209.0.27347.",30,72.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27158.0.27209.",30,73.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27076.0.27158.",25,64.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.27.0.27076.",25,65,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26953.0.27.",25,65.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26741.0.26953.",25,66.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26544.0.26741.",25,66.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26471.0.26544.",25,67.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2638.0.26471.",25,68.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26249.0.2638.",25,68.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26119.0.26249.",25,69.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2607.0.26119.",25,70,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.26036.0.2607.",25,70.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25903.0.26036.",25,71.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25627.0.25903.",20,60,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25416.0.25627.",20,60.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25373.0.25416.",20,61.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25341.0.25373.",20,61.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25271.0.25341.",20,62.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
